,searchTerm,slug,label,title
0,hampton bay door chime,how-to-install-a-doorbell,RELEVANT,How to Install a Doorbell
1,24 in. x 18 in. garage storage shelves,garage-storage-ideas,RELEVANT,Garage Storage Ideas
2,sheridan kitchen cabinet pull,best-kitchen-cabinet-types-for-your-home,RELEVANT,Best Kitchen Cabinet Types for Your Home
3,multi-colored blissful nights mattresses,how-to-pick-the- best-mattress-accessories,RELEVANT,Best Mattress Toppers and Pads for a Restful Sleep
4,5 gal #hdppgr63u paint with primer,how-to-paint-trim,RELEVANT,How to Paint Trim
5,feit electric recessed,types-of-led-lights,RELEVANT,Types of LED Lights
6,garden toilet,how-to-build-a-diy-compost-bin,NOT RELEVANT,How to Build a DIY Compost Bin
7,black stainless steel appliances,how-to-clean-stovetops,RELEVANT,How to Clean StoveTops
8,7 in. x 79 in. board & batten shutter,boards-and-banners-for-wallpaper-transition,NOT RELEVANT,Boards and Banners for Wallpaper Transition
9,american standard 3 flowise 2-piece 1.0-meter meter,how-to-replace-a-single-handle-in-a-kitchen-remodel,NOT RELEVANT,How to Replace a Single Handle in a Kitchen Remodel
10,lane drapery rod,how-to-mount-curtain-rods,RELEVANT,How to Mount Curtain Rods
11,electric blue bathroom wallpaper,how-to-style-a-bathroom-wraparound-border,RELEVANT,How to Style a Bathroom Wraparound Border
12,eaton type main breaker meter breaker euserbreak,types-of-circuit-breakers,RELEVANT,Types of Circuit Breakers
13,mr direct drop in bathroom sink,types-of-bathroom-sinks,RELEVANT,Type of Bathroom Sink
14,behr pro 5 gal i300 paint,types-of-paint-finishes,RELEVANT,Types of Paint Finishes 
15,life foam water heater insulation,how-to-insulate-a-water-heater,RELEVANT, How to Insulate a Water Heater
16,cthulhu mask,creating-a-halloween-front-porch,NOT RELEVANT,Creating a Halloween Front Porch
17,padded in beige,turning-Your-Basement-into-The-Perfect-Workspace,NOT RELEVANT,Turning Your Basement Into the Perfect Workspace
18,logo lighted logerould side table,console-table-ideas,RELEVANT,Console Table Ideas
19,corolla dresser,master-bedroom-ideas,RELEVANT,Master Bedroom Ideas
20,barber pole fixture,types-of-flashlight-models,NOT RELEVANT,Types of Flashlight Models
21,navicular nails,flush-narrow-nike-complate-lens-nail,NOT RELEVANT,
22,plant in sand,soil-preparation-for-root-vegetables,RELEVANT,Soil Prepping for Root Vegetables
23,industrial air 120 gal compressor,best-air-compressors-for-your-project,RELEVANT,Best Air Compressors for Your Project
24,outdoor fountains,garden-water-feature-idea,RELEVANT,Garden Water Feature Ideas
25,earthmark raised garden bed,diy-raised-garden-bed,RELEVANT,DIY Raised Garden Bed
26,dining chair homestyles dining chair,modern-breakfast-in-bed-tray-from-copper-pipe,NOT RELEVANT,Modern Breakfast in Bed Tray From Copper Pipe
27,1 gal ppg1193-2 paint,how-to-use-a-spray-gun,RELEVANT,How to Use a Spray Gun
28,2x6 joist hangers,how-to-build-a-deck,RELEVANT,How to Build a Deck
29,direct wick wall sink,types-of-bathtubs,RELEVANT,Types of Bathtubs
30,o77 cover,type-of-respirator-masks,NOT RELEVANT,Type of Respirator Masks
31,buzzer led lights,how-to-solder-jewelry,NOT RELEVANT,How To Solder Jewelry
32,hooks hook,garage-storage-ideas,RELEVANT,Garage Storage Ideas
33,cordless blackout cellular shade,how-to-install-blinds-or-shades,RELEVANT,How to Install Blinds or Shades
34,marcius gray poufs,gray-bathroom-ideas,NOT RELEVANT,Gray Bathroom Ideas
35,canapy,how-to-build-a-PERGOLA,RELEVANT,
36,hand planner,best-lumber-for-building-projects,RELEVANT,
37,31 in. 22 in. vanity in ivory,vanity-lighting-ideas,NOT RELEVANT,Vanity Lighting Ideas
38,panel doors,types-of-interior-doors,RELEVANT,Types of Interior Doors
39,lutron maestro dimmer,how-to-install-a-dimming-adjustment-bulb,RELEVANT,How to Install a Dimming Adjustment Bulb
40,averence 78 in. glade manufacturing alcove shower door,tips-for-selecting-shower-doors,RELEVANT,Tips for Selecting Shower Doors
41,stanley wood wall cabinet,types-of-wall-cabinets,RELEVANT,Types of Wall Cabinets
42,strobe light,how-to-install-a-flash-light,RELEVANT,How to Install a Flash Light
43,32 in. x 78 in. entry door,how-to-install-an-exterior-door,RELEVANT,How to Install an Exterior Door
44,chilled gray avanity medicine cabinet,best-medicine-cabinets-for-your-bathroom,RELEVANT,Best Medicine Cabinets for Your Bathroom
45,590 in. x 17.71 in. wall mural,3-bathrooms-3-styles,NOT RELEVANT,"3 Bathrooms, 3 Styles"
46,hizzo backyard party ideas,backyard-ideas-for-a-friendly-party,RELEVANT,Backyard Ideas For A Friendly Party
47,sheridan console table,console-table-ideas,RELEVANT,Console Table Ideas
48,outswinging awning window,types-of-awnings,RELEVANT,Types of Awnings
49,furnace filter 20x26x1,how-to-clean-an-air-conditioner-filter,RELEVANT,How to Clean an Air Conditioner Filter
50,azaleas,best-shrubs-and-trees-for- your-garden,RELEVANT,Best Shrubs for Your Garden
51,amithobe landscaping boulders,landscaping-trends-and-infographics,RELEVANT,Landscaping Trends and Infographics
52,nitrogen based fertilizers,how-to-apply-plant-fertilizer,RELEVANT,How to Apply Plant Fertilizer
53,mack's garage storage shelves,garage-storage-ideas,RELEVANT,Garage Storage Ideas
54,commercial air conditioning,types-of-air-conditions,RELEVANT,Common Types of Air Conditors and How They Work
55,1 gal #hdppgg42 paint with primer,how-to-paint-trim,RELEVANT,How to Paint Trim
56,acrylic sheet building,how-to-cut-plexiglass,RELEVANT,How to Cut Plexiglass
57,hampton bay bathroom shelf,closet-organization-ideas,RELEVANT,Closet Organization Ideas
58,lutron maestro dimmer,how-to-install-a-dimming-adjustment-brightness-control-driver,RELEVANT,How to Install a Dimming Adjustment Brightness Control Driver
59,industrial sink,how-to-install-an-undermount-sink-,RELEVANT,How to Install an Undermount Sink 
60,styx home makeup vanities,makeup-vanity-ideas,RELEVANT,Top 11 Makeup Vanity Ideas
61,reusable sanding sponge,type-of-sandpaper-and-abrasives,RELEVANT,
62,wood floor rust preventive,how-to-axe-down-a-floorboard,RELEVANT,How to Axе Down a Floor Board
63,home decorators collection 25 in. 22 in. pine,best-bath-towels-for-your-bathroom,NOT RELEVANT,Best Bath Towels for Your Bathroom
64,glidden premium 8 oz ppg1031-7 sample,bedroom-makeovers-for-pre-teens,NOT RELEVANT,Bedroom Makeovers for Pre-Teens
65,skillet with spouts,how-to-install-a-tub-spout,NOT RELEVANT,How To Install a Tub Spout
66,33 in. x 23.15 in. dollies,diy-fundamental-3-ponchos-step-by-step-ritani-kitchen-series-update,NOT RELEVANT,"DIY Fundamental “iFundamental” 3 Poncho Series, Ritni Kitchen Series Update"
67,1 in. x 1 in. cable zip ties,how-to-hide-wires,RELEVANT,How To Hide Wires
68,beckman high precision cutter,types-of-cutting-engines,RELEVANT,Types of Cutting Engines
69,dfi500mva,types-of-electrical-circuits,NOT RELEVANT,Types of Electrical Circuits
70,19 in. x 1.6 in. garage storage shelves,garage-storage-ideas,RELEVANT,Garage Storage Ideas
71,picture moving box,packing-for-a-move,RELEVANT,Packing for a Move
72,7 ft. bluprint cotton fabric,how-to-fold-a-cotton-blouse,NOT RELEVANT,How to Fold a Cotton Blouse
73,graffiti wallpaper border,how-to-hang-a-wallpaper-border,RELEVANT,How to Hang a Wallpaper Border
74,ciasco tv stand,how-to-mount-a-flat-screen-tv-on-a-wall,RELEVANT,How to Mount a Flat Screen TV on a Wall
75,cordless blackout cellular shade,how-to-install-blinds-or-shades,RELEVANT,How to Install Blinds or Shades
76,legrand conduit elbow,how-to-cement-pvc-conduit-for-electricity,RELEVANT,How To Cement PVC Conduit for Electricity
77,hand planner,best-lap-Saw-Mills-For-Your-Project,NOT RELEVANT,Best Lap Saw Mills for Your Project
78,penn sports embroidery machine,how-to-use-a-computer-embroidery-machine,RELEVANT,How to Use a Computer Embroidery Machine
79,265 watt led for lights,led-retrofitting,RELEVANT,LED Retrofitting: How to Convert Fluorescent Lighting to LED 
